User,24,25,26,27,28,31,1,2,3,4,7,8,9,10,11,Estado,???
_kkay,♠️2,,♥️As,,🃏♥️8,,♥️3,,hoy 💀,,,,,,,vivo,
.aitor3,♥️4,,,♣️3,♠️8,🃏♠️9,,,hoy 💀,,,,,,,vivo,
.t1nnitus,♠️2,,♦️8,♥️9,🃏♥️8,,♥️3,,,,hoy 💀,,,,,vivo,
ajut,♣️5,,♣️4,♦️7,,,,,,,hoy 💀,,,,,vivo,
aniicita,,,♠️6,♠️10,,🃏♦️4,♣️2,♣️8,,,,hoy 💀,,,,vivo,
anxnkalw,♦️9,,♥️As,,,,♥️3,♦️6,,,,,hoy 💀,,,vivo,
apearl,,♣️6,♥️As,♦️7,,,,,,hoy 💀,,,,,,vivo,
carletes2371,♠️2,,,,,🃏♦️4,♦️2,♦️6,,,hoy 💀,,,,,vivo,
charlieer,,♥️2,♥️As,♠️10,🃏♥️8,♥️7,,,,,hoy 💀,,,,,vivo,
cris_sm#4003,♠️2,,♥️As,♦️7,,,♥️3,,,hoy 💀,,,,,,vivo,
cxconut_crxam,♦️9,,,,,♥️7,,,,,hoy 💀,,,,,vivo,
derlex#6902,,♦️3,,♥️9,,,,,hoy 💀,,,,,,,vivo,
elviramartinn#7741,,♣️6,,♦️7,,,♦️2,,,hoy 💀,,,,,,vivo,
ezthren,♦️9,,,,,,♦️2,,hoy 💀,,,,,,,vivo,
fenixcypher,,♦️3,,♣️3,,🃏♦️4,♥️3,,hoy 💀,,,,,,,vivo,
grisha8186,♣️5,,,,🃏♥️8,,♣️2,♦️6,,,hoy 💀,,,,,vivo,
hana_uyi,♠️2,,♥️As,♥️9,🃏♥️8,,♥️3,,hoy 💀,,,,,,,vivo,
ipene8,♠️2,,♦️8,,,♥️7,,,,,hoy 💀,,,,,vivo,
jjuditthhh,♦️9,,♠️6,,,,♣️2,,,,hoy 💀,,,,,vivo,
julili._.,♠️2,,♥️As,♥️9,,,,,hoy 💀,,,,,,,vivo,
kraksy,♣️5,,,,♣️10,,,,,hoy 💀,,,,,,vivo,
kumo_lex,♥️4,,♥️As,♦️7,,,,,hoy 💀,,,,,,,vivo,
la_persona,,♦️5,♣️4,,,,♦️2,,hoy 💀,,,,,,,vivo,
lina_868,,♦️3,,♥️9,,🃏♦️4,♦️2,,hoy 💀,,,,,,,vivo,
lissort.,♠️2,,♥️As,♥️9,,,,,hoy 💀,,,,,,,vivo,
luckgamer24,♠️2,,♥️As,♣️3,♠️8 / 🃏♥️8,,,,hoy 💀,,,,,,,vivo,
lussy.m,♥️4,,♠️6,,♠️8,,,,,,hoy 💀,,,,,vivo,
mar_clua,,♦️3,,♦️7,,,,,hoy 💀,,,,,,,vivo,
meilxly._,,♣️6,,,🃏♥️8,,♦️2,,hoy 💀,,,,,,,vivo,
mininggie,,,♥️As,♠️10,,,,♥️10,,,,,,hoy 💀,,vivo,
niq4924,,♣️6,,,♠️7,,,,hoy 💀,,,,,,,vivo,
nomedejaponerelnombrequequiero,,,♥️As,♦️7,,,♦️2,,hoy 💀,,,,,,,vivo,
papacitorico777,♠️2,,♥️As,♣️3,♠️8 / 🃏♥️8,🃏♣️7,,♥️10,,,,,hoy 💀,,,vivo,
papayo_owo,♣️5,,♣️4,,♣️10,,♦️2,,,,,,hoy 💀,,,vivo,
patriiipb,,♣️6,,♦️7,,,♦️2,,,hoy 💀,,,,,,vivo,
pericco,♣️5,,♦️8,,♣️10,,♦️2,,,,,,,,hoy 💀,vivo,
piaa_,♠️2,,♦️8,,,,♦️2,,hoy 💀,,,,,,,vivo,
quierokoogerte,,♦️3,,♥️9,,,,,hoy 💀,,,,,,,vivo,
rayita4946,,♦️3,,♦️7,,♥️7,,,,,,hoy 💀,,,,vivo,
RedHob#5177,♠️2,,♦️8,,,,♠️As,♠️4,,hoy 💀,,,,,,vivo,
rosaln,♣️5,,♣️4,,♣️10,,,,,,,hoy 💀,,,,vivo,
samsammiesamsamsam,,♣️6,,♦️7,,♥️7,,,,,,,hoy 💀,,,vivo,
Sara✨#1714,♦️9,,,,,♥️7,,,,,hoy 💀,,,,,vivo,
sergal22,♦️9,,,,,♥️7,,,,,hoy 💀,,,,,vivo,
sir.cactus,♦️9,,,,,♥️7,,,,,hoy 💀,,,,,vivo,
sitte_ot,♠️2,,♥️As,♣️3,,♥️7,,,,hoy 💀,,,,,,vivo,
steph_dark02,♦️9,,,♦️7,,,,,,,hoy 💀,,,,,vivo,
sweetnyx_,,♦️3,,♣️3,,,♦️2,♦️6,,,hoy 💀,,,,,vivo,
Sxlly#0158,♦️9,,,♦️7,,,♥️3,,,,,,hoy 💀,,,vivo,
tumorochaescorpiana_,,♦️3,♥️As,,♠️8,,,,hoy 💀,,,,,,,vivo,
val.lvslkcats,♣️5,,,,,🃏♦️4,♦️2,♦️6,,,hoy 💀,,,,,vivo,
valitruska,,♦️3,♥️As,,♣️10,,,,,hoy 💀,,,,,,vivo,
weekndmiss#7765,♠️2,,♥️As,♣️3,,,♦️2,,hoy 💀,,,,,,,vivo,
whoiserika_,♣️5,,♣️4,,♠️8 / 🃏♥️8,,♠️As,,,hoy 💀,,,,,,vivo,
xtensor,♣️5,,♥️As,,,♥️7,,,,hoy 💀,,,,,,vivo,
xXAlvaroGamerXx,,♦️5,♥️As,,♣️10,,,,,,hoy 💀,,,,,vivo,
xxlautaytv,♠️2,,♥️As,♣️3,,♥️7,,,,hoy 💀,,,,,,vivo,
yuudif,,♦️3,♦️8,,♣️10,,♦️2,♦️6,,,,,,,,VIVO,hoy 💀
_abii_.,♣️5,,,,,🃏♣️7,,,,,,,,,,muerto,
_anx._,,,,,,,,,,,,,,,,muerto,
_dynamight.,♥️4,,,,,,,,,,,,,,,muerto,
_moon_18,♠️2,,♥️As,♣️3,♠️7,,,,,,,,,,,muerto,
_pollitodecolores,,,,,,,,,,,,,,,,muerto,
_sari58,,,,,,,,,,,,,,,,muerto,
_snom__,,♦️3,♥️As,,,🃏♣️7,,,,,,,,,,muerto,
_url0v3r,,,,,,,,,,,,,,,,muerto,
.louly_06,♠️2,,♦️8,,,,♠️As,♥️10,,,,,,,,muerto,
.tengosueno__,♠️2,,♥️As,♥️9,,,,,,,,,,,,muerto,
✧༺707༻✧🐈#8431,,♦️3,♥️As,♦️7,,,♥️3,♣️8,,,,,,,,muerto,
✩𖤓✿Ann✿𖤓✩#4830,,♥️2,♣️4,,♠️8,🃏♠️9,,,,,,,,,,muerto,
A....#4010,♠️2,,♣️4,,♠️7,🃏♠️9,,,,,,,,,,muerto,
a.itzel.l.g.,♠️2,,♥️As,♠️10,,🃏♦️4,♦️2,♥️10,,,,,,,,muerto,
a.le_joxd,♠️2,,,,,,,,,,,,,,,muerto,
abbysv,,♦️3,♥️As,♣️3,,,♥️3,♠️4,,,,,,,,muerto,
ailisissick,,,,,,,,,,,,,,,,muerto,
ailuj26,♠️2,,♥️As,♥️9,,,♠️As,,,,,,,,,muerto,
alesalvador_09,♣️5,,,,,,,,,,,,,,,muerto,
alexviilaa,♠️2,,,,,,,,,,,,,,,muerto,
andy_0910_,,♣️6,,,,,,,,,,,,,,muerto,
ani♡#0052,♠️2,,♥️As,,,,,,,,,,,,,muerto,
Ann✨#5551,,,,,,,,,,,,,,,,muerto,
Antias#3675,,♦️5,,,,,,,,,,,,,,muerto,
athanasia2214,♦️9,,,,,,,,,,,,,,,muerto,
awadekokoo,♣️5,,,,,,,,,,,,,,,muerto,
bayasoleada,,,,,,,,,,,,,,,,muerto,
Brendiux#2252,♠️2,,♦️8,,,,♦️2,♣️8,,,,,,,,muerto,
callmebyurname_,,♣️6,,,,🃏♦️4,,,,,,,,,,muerto,
camcat._#3121,,,,,,,,,,,,,,,,muerto,
cande3644,,♦️3,,♦️7,,,,💀,,,,,,,,muerto,
candex.,♥️4,,,,,,,,,,,,,,,muerto,
carls.ccr#3425,,,,,,,,,,,,,,,,muerto,
Cattenea,,♦️3,,♠️10,,🃏♦️4,♣️2,♥️10,,,,,,,,muerto,
cchopi,,,,,,,,,,,,,,,,muerto,
Ce#7736,,♣️6,,,,,,,,,,,,,,muerto,
cel_01,♠️2,,♥️As,♣️3,♠️7 / 🃏♥️8,,,♠️4,,,,,,,,muerto,
clowncia,♠️2,,,,,🃏♣️7,,,,,,,,,,muerto,
crfb_#5534,,,,,,,,,,,,,,,,muerto,
degmoonjunodeg,,♣️6,,,,,,,,,,,,,,muerto,
Dena_r,♣️5,,,,,,,,,,,,,,,muerto,
Dianela#6294,,,,,,,,,,,,,,,,muerto,
dracovictini,,,,,,,,,,,,,,,,muerto,
eifellmd,♠️2,,,,,🃏♣️7,,,,,,,,,,muerto,
Emi R#8767,,,,,,,,,,,,,,,,muerto,
Eva#2492,,♥️2,♥️As,,,,,,,,,,,,,muerto,
fanny8343,,♣️6,,,,,,,,,,,,,,muerto,
floppi2514,,♥️2,,,,,,,,,,,,,,muerto,
FranFLw#5879,,♦️3,,♥️9,,,,,,,,,,,,muerto,
gengarkuma,,,,,,,,,,,,,,,,muerto,
Godofredo#0930,,♦️3,,♦️7,,,,♥️10,,,,,,,,muerto,
hakulu,,♦️3,,♠️10,,🃏♣️7,,,,,,,,,,muerto,
hanaa.2.3,,♣️6,,♦️7,,,♥️3,♣️8,,,,,,,,muerto,
hidrapato,,♣️6,♣️4,,,,♦️2,,,,,,,,,muerto,
HimikoYuno#0449,,,,,,,,,,,,,,,,muerto,
holi_aye,,,♥️As,,,,,,,,,,,,,muerto,
ikttsamii,,♦️5,,,♠️7 / 🃏♥️8,,,,,,,,,,,muerto,
im_n0t_zLuke#5061,,♦️5,♦️8,,,🃏♣️7,,,,,,,,,,muerto,
isabel__#9099,♣️5,,,,,,,,,,,,,,,muerto,
isidoraa_ro,♦️9,,,,,,,,,,,,,,,muerto,
jacob2326,,,,,,,,,,,,,,,,muerto,
jdfg.2,,,,,,,,,,,,,,,,muerto,
jen6080,,,,,,,,,,,,,,,,muerto,
jennnnl,,♣️6,,,,,,,,,,,,,,muerto,
jlan234,♦️9,,♣️4,,♠️8,🃏♠️9,,,,,,,,,,muerto,
jloremfresita#7889,,,,,,,,,,,,,,,,muerto,
jsxchishiya,,♣️6,,,,,,,,,,,,,,muerto,
